bank_account,location_type,age_of_respondent,education_level,job_type
No,Urban,28,Secondary education,Self employed
No,Rural,66,Primary education,Informally employed
No,Urban,16,Secondary education,Remittance Dependent
Yes,Urban,41,Vocational/Specialised training,Self employed
No,Urban,23,No formal education,Informally employed
No,Rural,43,No formal education,Other Income
No,Urban,21,Secondary education,Informally employed
Yes,Urban,42,Secondary education,Self employed
No,Rural,30,Secondary education,Farming and Fishing
No,Rural,64,No formal education,Remittance Dependent
No,Urban,21,Secondary education,Informally employed
No,Rural,66,No formal education,Farming and Fishing
No,Rural,22,Primary education,Informally employed
Yes,Urban,35,Vocational/Specialised training,Formally employed Private
No,Rural,24,Primary education,Farming and Fishing
No,Rural,49,Primary education,Informally employed
No,Urban,47,Primary education,Informally employed
Yes,Urban,39,Secondary education,Self employed
No,Rural,40,No formal education,Farming and Fishing
No,Rural,75,No formal education,Farming and Fishing
No,Urban,28,Primary education,Self employed
No,Urban,55,Secondary education,Self employed
Yes,Rural,32,Vocational/Specialised training,Farming and Fishing
No,Rural,70,Primary education,Farming and Fishing
Yes,Rural,54,Primary education,Farming and Fishing
Yes,Urban,42,Tertiary education,Formally employed Private
No,Rural,30,No formal education,Farming and Fishing
No,Urban,36,Primary education,Informally employed
No,Rural,68,Primary education,Farming and Fishing
No,Rural,40,Primary education,Informally employed
Yes,Urban,53,Tertiary education,Self employed
No,Rural,38,No formal education,Remittance Dependent
Yes,Urban,72,No formal education,Farming and Fishing
No,Rural,21,Primary education,Formally employed Private
No,Rural,59,Primary education,Informally employed
No,Rural,85,Primary education,Government Dependent
No,Rural,23,Secondary education,Informally employed
No,Rural,30,Secondary education,Informally employed
No,Rural,30,Primary education,Farming and Fishing
No,Rural,45,No formal education,Farming and Fishing
No,Rural,59,Primary education,Farming and Fishing
No,Rural,29,No formal education,Farming and Fishing
No,Rural,76,No formal education,Remittance Dependent
No,Rural,70,No formal education,Farming and Fishing
Yes,Rural,36,Primary education,Informally employed
No,Rural,55,Secondary education,Farming and Fishing
No,Urban,95,No formal education,Remittance Dependent
Yes,Urban,66,Vocational/Specialised training,Self employed
No,Urban,56,Secondary education,Informally employed
Yes,Rural,55,Primary education,Formally employed Government
No,Rural,31,Secondary education,Self employed
No,Rural,70,Primary education,Government Dependent
Yes,Urban,66,Primary education,Self employed
Yes,Urban,41,Vocational/Specialised training,Self employed
Yes,Rural,27,Secondary education,Self employed
No,Rural,38,Primary education,Self employed
No,Urban,30,Primary education,Informally employed
No,Urban,34,No formal education,Remittance Dependent
No,Rural,22,Primary education,Remittance Dependent
Yes,Urban,45,Primary education,Farming and Fishing
Yes,Urban,30,Vocational/Specialised training,Formally employed Government
No,Rural,32,No formal education,Farming and Fishing
No,Rural,43,Primary education,Self employed
No,Urban,18,Primary education,Self employed
Yes,Urban,30,Vocational/Specialised training,Formally employed Private
No,Rural,85,No formal education,Remittance Dependent
Yes,Urban,24,Vocational/Specialised training,Formally employed Private
No,Urban,45,Primary education,Informally employed
No,Rural,29,Primary education,Remittance Dependent
No,Rural,25,No formal education,Farming and Fishing
Yes,Urban,30,Secondary education,Self employed
No,Rural,60,No formal education,Remittance Dependent
Yes,Rural,52,Vocational/Specialised training,Formally employed Government
No,Rural,30,No formal education,Farming and Fishing
No,Rural,22,Primary education,Informally employed
Yes,Rural,28,Secondary education,Farming and Fishing
No,Urban,29,Primary education,Informally employed
No,Rural,45,Primary education,Remittance Dependent
No,Rural,67,Primary education,Remittance Dependent
No,Rural,30,Primary education,Farming and Fishing
Yes,Rural,54,Secondary education,Formally employed Government
No,Rural,43,Primary education,Self employed
No,Rural,39,Secondary education,Informally employed
No,Rural,40,Primary education,Farming and Fishing
No,Urban,25,Primary education,Informally employed
Yes,Urban,32,Secondary education,Self employed
No,Rural,26,Primary education,Informally employed
No,Rural,62,No formal education,Other Income
No,Rural,22,Secondary education,Remittance Dependent
No,Urban,57,Primary education,Farming and Fishing
Yes,Rural,30,Secondary education,Self employed
No,Urban,80,Primary education,Remittance Dependent
No,Urban,19,Secondary education,Remittance Dependent
No,Rural,37,Primary education,Farming and Fishing
Yes,Urban,29,Vocational/Specialised training,Formally employed Private
No,Rural,56,Primary education,Farming and Fishing
No,Urban,21,Vocational/Specialised training,Remittance Dependent
No,Rural,54,Primary education,Farming and Fishing
No,Urban,27,Secondary education,Informally employed
No,Rural,35,Vocational/Specialised training,Formally employed Private
Yes,Urban,46,Vocational/Specialised training,Self employed
No,Urban,18,Secondary education,Remittance Dependent
No,Rural,23,Secondary education,Self employed
No,Rural,20,Secondary education,Remittance Dependent
Yes,Urban,37,Primary education,Self employed
Yes,Rural,69,Primary education,Farming and Fishing
No,Rural,33,Tertiary education,Formally employed Government
No,Urban,16,Secondary education,Remittance Dependent
No,Urban,22,Secondary education,Self employed
Yes,Urban,57,Primary education,Formally employed Government
No,Rural,42,Primary education,Remittance Dependent
No,Rural,27,Primary education,Farming and Fishing
No,Rural,39,Primary education,Informally employed
No,Rural,36,Primary education,Informally employed
No,Rural,52,Vocational/Specialised training,Other Income
Yes,Rural,42,Secondary education,Farming and Fishing
No,Rural,30,No formal education,Informally employed
No,Urban,30,No formal education,Farming and Fishing
No,Rural,29,Primary education,Self employed
No,Rural,21,Primary education,Remittance Dependent
No,Rural,49,Primary education,Self employed
No,Rural,16,Secondary education,Remittance Dependent
No,Urban,30,Primary education,Self employed
No,Urban,52,Secondary education,Informally employed
Yes,Urban,24,Primary education,Formally employed Private
No,Urban,49,Primary education,Informally employed
No,Rural,19,Primary education,Farming and Fishing
No,Urban,25,Primary education,Remittance Dependent
No,Rural,41,No formal education,Informally employed
No,Rural,71,Primary education,Farming and Fishing
No,Rural,27,Primary education,Remittance Dependent
No,Rural,54,Primary education,Farming and Fishing
Yes,Urban,22,Primary education,Farming and Fishing
No,Urban,25,No formal education,Remittance Dependent
No,Rural,29,No formal education,Farming and Fishing
No,Rural,35,Primary education,Informally employed
No,Rural,44,Primary education,Informally employed
Yes,Urban,24,Secondary education,Formally employed Private
No,Rural,56,Primary education,Remittance Dependent
No,Rural,26,Secondary education,Farming and Fishing
No,Rural,36,Primary education,Self employed
No,Rural,41,Primary education,Remittance Dependent
No,Rural,37,Primary education,Self employed
No,Rural,37,Primary education,Informally employed
No,Rural,30,Primary education,Farming and Fishing
No,Rural,36,Secondary education,Informally employed
No,Rural,27,Primary education,Remittance Dependent
No,Urban,40,No formal education,Remittance Dependent
No,Rural,33,Secondary education,Farming and Fishing
No,Rural,35,Primary education,Informally employed
No,Rural,18,Primary education,Remittance Dependent
No,Urban,25,Primary education,Informally employed
Yes,Urban,31,Vocational/Specialised training,Self employed
No,Rural,35,No formal education,Informally employed
No,Rural,17,Secondary education,Farming and Fishing
No,Urban,35,Primary education,Remittance Dependent
Yes,Rural,53,Tertiary education,Formally employed Government
No,Urban,21,Secondary education,Other Income
No,Rural,26,Primary education,Informally employed
No,Rural,47,Secondary education,Informally employed
No,Urban,20,Primary education,Remittance Dependent
No,Urban,37,Primary education,Informally employed
No,Urban,23,Primary education,Remittance Dependent
No,Rural,34,Primary education,Farming and Fishing
No,Urban,24,Secondary education,Remittance Dependent
No,Rural,66,Primary education,Farming and Fishing
Yes,Urban,67,Secondary education,Remittance Dependent
No,Rural,60,Primary education,Farming and Fishing
No,Urban,45,Secondary education,Self employed
No,Rural,28,Secondary education,Informally employed
No,Rural,28,Primary education,Informally employed
No,Rural,56,Primary education,Informally employed
No,Rural,18,Primary education,Remittance Dependent
No,Urban,57,Primary education,Farming and Fishing
No,Rural,22,Secondary education,Farming and Fishing
No,Rural,53,Primary education,Farming and Fishing
No,Rural,61,Secondary education,Farming and Fishing
No,Rural,35,Primary education,Informally employed
Yes,Urban,68,Secondary education,Self employed
No,Rural,25,Primary education,Informally employed
Yes,Urban,37,Primary education,Self employed
No,Rural,18,Secondary education,Remittance Dependent
Yes,Rural,28,Secondary education,Farming and Fishing
No,Urban,58,Primary education,Informally employed
No,Urban,25,No formal education,Remittance Dependent
Yes,Urban,40,Tertiary education,Formally employed Government
No,Urban,19,Secondary education,Formally employed Private
No,Rural,33,Primary education,Informally employed
Yes,Rural,55,Tertiary education,Formally employed Government
No,Urban,42,Secondary education,Informally employed
No,Rural,51,Primary education,Informally employed
No,Rural,43,Primary education,Farming and Fishing
No,Urban,33,Primary education,Informally employed
No,Urban,24,Secondary education,Self employed
No,Rural,20,Primary education,Remittance Dependent
No,Urban,16,Primary education,Other Income
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,19,Primary education,Remittance Dependent
Yes,Rural,43,Secondary education,Self employed
No,Rural,22,Primary education,Formally employed Private
No,Rural,37,Primary education,Farming and Fishing
Yes,Urban,60,Primary education,Informally employed
No,Rural,60,Primary education,Farming and Fishing
Yes,Urban,38,Tertiary education,Self employed
Yes,Urban,68,Vocational/Specialised training,Formally employed Government
Yes,Rural,55,Primary education,Farming and Fishing
No,Urban,36,Primary education,Informally employed
No,Rural,58,Primary education,Informally employed
No,Rural,19,Primary education,Informally employed
No,Urban,43,Vocational/Specialised training,Farming and Fishing
Yes,Urban,48,Secondary education,Farming and Fishing
No,Urban,23,Secondary education,Formally employed Private
Yes,Urban,81,No formal education,Government Dependent
No,Rural,60,No formal education,Farming and Fishing
No,Rural,16,Primary education,Remittance Dependent
No,Rural,63,No formal education,Remittance Dependent
No,Rural,66,Primary education,Farming and Fishing
No,Rural,28,Secondary education,Informally employed
Yes,Rural,49,Primary education,Farming and Fishing
Yes,Urban,30,Vocational/Specialised training,Formally employed Private
No,Rural,74,Primary education,Government Dependent
No,Rural,19,Primary education,Informally employed
Yes,Rural,77,Secondary education,Farming and Fishing
